Manufacturer,Model,Price,Transmission,Power,Engine CC,Fuel,Female,Male,Unknown,Total
BMW,X6,125.5,8.0,282.25,3344.75,petrol,"1,148","4,371",294,"5,813"
Subaru,Outback,53.63,0.0,122.67,2331.33,petrol,"1,324","4,060",410,"5,794"
Dodge,Caliber,26.59,4.12,108.62,1911.75,petrol,"1,839","3,537",271,"5,647"
Ford,Maverick,29.15,5.0,89.0,2526.5,petrol,"1,123","4,054",246,"5,423"
Rover,Streetwise,20.74,5.0,75.0,1695.0,petrol,"2,110","3,028",282,"5,420"
Rover,CityRover,11.74,5.0,63.0,1405.0,petrol,"2,603","2,351",398,"5,352"
Kia,Cerato,19.9,4.8,94.0,1742.6,petrol,"1,779","3,240",238,"5,257"
Lotus,Elise,53.79,6.0,134.33,1730.0,petrol,462,"4,463",214,"5,139"
Ford,Cougar,32.12,4.67,115.33,2362.0,petrol,933,"3,669",224,"4,826"
Smart,Roadster-coupe,24.35,6.0,60.0,698.0,petrol,"1,462","3,014",317,"4,793"
Aston-Martin,Vantage,360.76,6.0,410.0,5341.0,petrol,359,"4,192",191,"4,742"
Hyundai,I40,35.53,6.0,93.6,1647.4,diesel,742,"3,793",139,"4,674"
Chevrolet,Cruze,28.17,5.58,103.0,1706.33,petrol,"1,045","3,389",201,"4,635"
Seat,Exeo,33.86,5.38,116.25,1925.25,petrol,659,"3,722",147,"4,528"
Toyota,Urban,20.21,6.0,74.0,1329.0,petrol,"2,036","2,025",296,"4,357"
Seat,Mii,11.92,5.0,49.13,999.0,petrol,"2,445","1,693",189,"4,327"
Audi,A7,87.12,8.0,190.0,2967.0,diesel,401,"3,715",162,"4,278"
Peugeot,405,20.43,4.79,69.88,1773.0,petrol,747,"3,321",148,"4,216"
Abarth,500C,21.11,5.0,60.62,1039.5,petrol,"1,697","2,305",180,"4,182"
